zecca	museum	bn:00055225n	bn:00056426n	zecca	exhibition,exposition,expo
chair	stool	bn:00017515n	bn:00074427n	chair	stool
spagnolo	humidity	bn:00073092n	bn:00045190n	spagnolo	humidity,humidness
mosca	formica	bn:13319918n	bn:00004458n	mosca	formica
NATO	alliance	bn:00056978n	bn:00002859n	nato,North Atlantic Treaty Organization (Organizzazione del Trattato nord atlantico)	alliance, confederation
hardware	case	bn:00021480n	bn:00262368n	hardware,computer hardware	Computer case
latino	tedesco	bn:00050161n	bn:00040293n	latino	tedesco
Shakespeare	Dickens	bn:00008556n	bn:00017842n	Shakespeare,William Shakespeare	Charles Dickens
Obama	Clinton	bn:03330021n	bn:00010400n	Barack Obama	Bill Clinton,Clinton
lago	nuvola	bn:00049709n	bn:00020002n	lago	nube,nuvola
